Name,Year,Publisher,Global_Sales
Wii Fit U,2013.0,Nintendo,0.89
NBA 2K14,2013.0,Take-Two Interactive,0.87
Far Cry: Primal,2016.0,Ubisoft,0.85
WWE 2K15,2014.0,Take-Two Interactive,0.85
Overwatch,2016.0,Activision,0.85
Kirby: Planet Robobot,2016.0,Nintendo,0.85
Xenoblade Chronicles X,2015.0,Nintendo,0.84
Borderlands: The Handsome Collection,2015.0,Take-Two Interactive,0.84
FIFA 15,2014.0,Electronic Arts,0.84
Need for Speed Rivals,2013.0,Electronic Arts,0.84
Borderlands 2,2014.0,Take-Two Interactive,0.83
Madden NFL 17,2016.0,Electronic Arts,0.82
Madden NFL 16,2015.0,Electronic Arts,0.82
Madden NFL 25,2013.0,Electronic Arts,0.82
Guitar Hero Live,2015.0,Activision,0.81
NCAA Football 14,2013.0,Electronic Arts,0.8
NBA 2K16,2015.0,Take-Two Interactive,0.8
Mario & Sonic at the Sochi 2014 Olympic Winter Games,2013.0,Nintendo,0.8
Professor Layton and the Azran Legacy,2013.0,Nintendo,0.78
Madden NFL 25,2013.0,Electronic Arts,0.77
Plants vs. Zombies: Garden Warfare,2014.0,Electronic Arts,0.76
FIFA 15,2014.0,Electronic Arts,0.76
Just Dance 2015,2014.0,Ubisoft,0.75
Borderlands: The Pre-Sequel,2014.0,Take-Two Interactive,0.75
Mario & Luigi: Paper Jam,2015.0,Nintendo,0.74
Call of Duty: Ghosts,2013.0,Activision,0.73
Dragon Age: Inquisition,2014.0,Electronic Arts,0.73
Rhythm Heaven: The Best+,2015.0,Nintendo,0.71
2014 FIFA World Cup Brazil,2014.0,Electronic Arts,0.71
Skylanders: Trap Team,2014.0,Activision,0.7
WWE 2K15,2014.0,Take-Two Interactive,0.69
Skylanders: Trap Team,2014.0,Activision,0.69
Assassin's Creed IV: Black Flag,2013.0,Ubisoft,0.69
Nintendo Presents: New Style Boutique 2 - Fashion Forward,2015.0,Nintendo,0.69
Plants vs. Zombies: Garden Warfare,2014.0,Electronic Arts,0.68
Rayman Legends,2013.0,Ubisoft,0.68
Need for Speed (2015),2015.0,Electronic Arts,0.68
Need for Speed Rivals,2013.0,Electronic Arts,0.67
BioShock Infinite,2013.0,Take-Two Interactive,0.67
Borderlands: The Pre-Sequel,2014.0,Take-Two Interactive,0.67
Rayman Legends,2013.0,Ubisoft,0.66
Rocksmith 2014,2013.0,Ubisoft,0.66
Dragon Age: Inquisition,2014.0,Electronic Arts,0.65
Crysis 3,2013.0,Electronic Arts,0.64
Diablo III,2014.0,Activision,0.64
NBA 2K17,2016.0,Take-Two Interactive,0.64
The Walking Dead: Survival Instinct,2013.0,Activision,0.64
Just Dance 2015,2014.0,Ubisoft,0.63
The Crew,2014.0,Ubisoft,0.63
Far Cry 4,2014.0,Ubisoft,0.62
Evolve,2015.0,Take-Two Interactive,0.62
Rocksmith 2014,2014.0,Ubisoft,0.62
NHL 16,2015.0,Electronic Arts,0.61
Plants vs. Zombies: Garden Warfare,2014.0,Electronic Arts,0.61
Just Dance 2014,2013.0,Ubisoft,0.61
Skylanders SWAP Force,2013.0,Activision,0.6
Just Dance 2016,2015.0,Ubisoft,0.58
NHL 15,2014.0,Electronic Arts,0.58
WWE 2K16,2015.0,Take-Two Interactive,0.58
Titanfall,2014.0,Electronic Arts,0.58
WWE 2K16,2015.0,Take-Two Interactive,0.58
NHL 14,2013.0,Electronic Arts,0.57
Xenoblade Chronicles,2015.0,Nintendo,0.56
WWE 2K15,2014.0,Take-Two Interactive,0.56
Dragon Age: Inquisition,2014.0,Electronic Arts,0.55
Assassin's Creed: Unity,2014.0,Ubisoft,0.55
The Amazing Spider-Man 2 (2014),2014.0,Activision,0.55
NHL 14,2013.0,Electronic Arts,0.54
Star Wars Battlefront (2015),2015.0,Electronic Arts,0.54
Kirby and the Rainbow Curse,2015.0,Nintendo,0.53
The Walking Dead: Survival Instinct,2013.0,Activision,0.53
Just Dance 2015,2014.0,Ubisoft,0.53
StarCraft II: Legacy of the Void,2015.0,Activision,0.51
Rory McIlroy PGA Tour,2015.0,Electronic Arts,0.51
Guitar Hero Live,2015.0,Activision,0.51
WWE 2K16,2015.0,Take-Two Interactive,0.5
FIFA 14,2013.0,Electronic Arts,0.5
Pokemon Art Academy,2014.0,Nintendo,0.49
Battlefield: Hardline,2015.0,Electronic Arts,0.49
Mario Golf: World Tour,2014.0,Nintendo,0.48
Skylanders: SuperChargers,2015.0,Activision,0.48
Bravely Second: End Layer,2015.0,Nintendo,0.47
Deadpool,2013.0,Activision,0.47
2014 FIFA World Cup Brazil,2014.0,Electronic Arts,0.47
NHL 16,2015.0,Electronic Arts,0.47
Major League Baseball 2K13,2013.0,Take-Two Interactive,0.47
NHL 15,2014.0,Electronic Arts,0.47
Mario & Sonic at the Rio 2016 Olympic Games,2016.0,Nintendo,0.46
Deadpool,2013.0,Activision,0.46
EA Sports UFC,2014.0,Electronic Arts,0.46
Skylanders: SuperChargers,2015.0,Activision,0.46
Rayman Legends,2013.0,Ubisoft,0.46
Puzzle & Dragons Z + Super Mario Bros. Edition,2015.0,Nintendo,0.46
Watch Dogs,2014.0,Ubisoft,0.45
Plants vs. Zombies: Garden Warfare 2,2016.0,Electronic Arts,0.45
FIFA 15,2014.0,Electronic Arts,0.45
Mario Tennis Ultra Smash,2015.0,Nintendo,0.45
Just Dance 2014,2013.0,Ubisoft,0.45
Plants vs. Zombies: Garden Warfare 2,2016.0,Electronic Arts,0.44
FIFA 14,2013.0,Electronic Arts,0.43
Trials Fusion,2014.0,Ubisoft,0.43
Overwatch,2016.0,Activision,0.43
FIFA 14,2013.0,Electronic Arts,0.43
Skylanders: Trap Team,2014.0,Activision,0.43
Animal Crossing: Amiibo Festival,2015.0,Nintendo,0.42
Hyrule Warriors,2016.0,Nintendo,0.42
Destiny: The Taken King,2015.0,Activision,0.41
Call of Duty: Advanced Warfare,2014.0,Activision,0.41
The Wonderful 101,2013.0,Nintendo,0.41
Borderlands: The Handsome Collection,2015.0,Take-Two Interactive,0.41
Story of Seasons,2014.0,Nintendo,0.4
Rocksmith 2014,2014.0,Ubisoft,0.4
NHL 15,2014.0,Electronic Arts,0.4
EA Sports UFC 2,2016.0,Electronic Arts,0.4
Wii Sports Club,2014.0,Nintendo,0.4
Just Dance 2014,2013.0,Ubisoft,0.39
Skylanders: SuperChargers,2015.0,Activision,0.39
Just Dance 2014,2013.0,Ubisoft,0.39
Tiger Woods PGA Tour 14,2013.0,Electronic Arts,0.39
Destiny: The Taken King,2015.0,Activision,0.38
NHL 15,2014.0,Electronic Arts,0.38
FIFA 17,2016.0,Electronic Arts,0.38
Just Dance 2015,2014.0,Ubisoft,0.38
Tom Clancy's The Division,2016.0,Ubisoft,0.37
Sid Meier's Civilization: Beyond Earth,2014.0,Take-Two Interactive,0.37
Skylanders SWAP Force,2013.0,Activision,0.37
Tiger Woods PGA Tour 14,2013.0,Electronic Arts,0.36
Call of Duty: Ghosts,2013.0,Activision,0.36
Just Dance 2016,2015.0,Ubisoft,0.36
Fossil Fighters: Frontier,2014.0,Nintendo,0.35
Star Fox: Zero,2016.0,Nintendo,0.35
Angry Birds Star Wars,2013.0,Activision,0.35
Just Dance 2016,2015.0,Ubisoft,0.35
Skylanders: Trap Team,2014.0,Activision,0.34
Rayman Legends,2014.0,Ubisoft,0.34
Angry Birds Star Wars,2013.0,Activision,0.34
Battlefield: Hardline,2015.0,Electronic Arts,0.34
Angry Birds Star Wars,2013.0,Activision,0.33
TrackMania Turbo,2016.0,Ubisoft,0.32
Mirror's Edge Catalyst,2016.0,Electronic Arts,0.32
Just Dance 2016,2015.0,Ubisoft,0.32
Skylanders SWAP Force,2013.0,Activision,0.31
NES Remix,2014.0,Nintendo,0.3
Skylanders: SuperChargers,2015.0,Activision,0.3
FIFA 15,2014.0,Electronic Arts,0.3
Imagine: Makeup Artist,2020.0,Ubisoft,0.29
Assassin's Creed IV: Black Flag,2013.0,Ubisoft,0.29
The Amazing Spider-Man 2 (2014),2014.0,Activision,0.29
The Bureau: XCOM Declassified,2013.0,Take-Two Interactive,0.29
Angry Birds Star Wars,2013.0,Activision,0.29
Borderlands: The Pre-Sequel,2014.0,Take-Two Interactive,0.29
World of Warcraft: Legion,2016.0,Activision,0.29
Need for Speed: Most Wanted,2013.0,Electronic Arts,0.28
Army of Two: The Devil's Cartel,2013.0,Electronic Arts,0.28
Guitar Hero Live,2015.0,Activision,0.28
Just Dance 2015,2014.0,Ubisoft,0.28
Deadpool,2015.0,Activision,0.28
Need for Speed Rivals,2013.0,Electronic Arts,0.27
Teenage Mutant Ninja Turtles: Danger of the Ooze,2014.0,Activision,0.27
Rory McIlroy PGA Tour,2015.0,Electronic Arts,0.27
The Crew,2014.0,Ubisoft,0.26
Skylanders: SuperChargers,2015.0,Activision,0.26
Skylanders: Trap Team,2014.0,Activision,0.26
The Amazing Spider-Man 2 (2014),2014.0,Activision,0.26
Army of Two: The Devil's Cartel,2013.0,Electronic Arts,0.26
Mario & Sonic at the Rio 2016 Olympic Games,2016.0,Nintendo,0.26
FIFA 14,2013.0,Electronic Arts,0.25
Anno 2205,2015.0,Ubisoft,0.25
Trials Fusion,2014.0,Ubisoft,0.24
Skylanders SWAP Force,2013.0,Activision,0.24
Chibi-Robo! Zip Lash,2015.0,Nintendo,0.24
Guitar Hero Live,2015.0,Activision,0.24
Game & Wario,2013.0,Nintendo,0.24
The Bureau: XCOM Declassified,2013.0,Take-Two Interactive,0.24
The Smurfs 2,2013.0,Ubisoft,0.23
Girls Mode 3: Kirakira Code,2015.0,Nintendo,0.23
Skylanders: SuperChargers,2015.0,Activision,0.23
FIFA 14,2013.0,Electronic Arts,0.23
Call of Duty: Black Ops 3,2015.0,Activision,0.23
NBA Live 15,2014.0,Electronic Arts,0.23
Battleborn,2016.0,Take-Two Interactive,0.22
Tom Clancy's Rainbow Six: Siege,2015.0,Ubisoft,0.22
Teenage Mutant Ninja Turtles: Danger of the Ooze,2014.0,Activision,0.22
Transformers: Devastation,2015.0,Activision,0.22
Just Dance 2016,2015.0,Ubisoft,0.22
Shin Megami Tensei x Fire Emblem,2015.0,Nintendo,0.22
Code Name: S.T.E.A.M.,2015.0,Nintendo,0.22
NBA Live 14,2013.0,Electronic Arts,0.22
The Amazing Spider-Man 2 (2014),2014.0,Activision,0.21
Transformer: Rise of the Dark Spark,2014.0,Activision,0.21
Rayman Legends,2014.0,Ubisoft,0.21
NBA Live 15,2014.0,Electronic Arts,0.2
Assassin's Creed Syndicate,2015.0,Ubisoft,0.2
XCOM 2,2016.0,Take-Two Interactive,0.2
NHL 17,2016.0,Electronic Arts,0.2
Angry Birds Star Wars,2013.0,Activision,0.2
Tony Hawk's Pro Skater 5,2015.0,Activision,0.2
BioShock The Collection,2016.0,Take-Two Interactive,0.2
South Park: The Stick of Truth,2014.0,Ubisoft,0.2
The Sims 4: Get Together,2015.0,Electronic Arts,0.19
NBA Live 14,2013.0,Electronic Arts,0.19
Tom Clancy's Splinter Cell: Blacklist,2013.0,Ubisoft,0.19
Disney Magic World 2,2015.0,Nintendo,0.19
Fighter Within,2013.0,Ubisoft,0.19
Evolve,2015.0,Take-Two Interactive,0.18
Shape Up,2014.0,Ubisoft,0.18
Guitar Hero Live,2015.0,Activision,0.18
Daigasso! Band Brothers P,2013.0,Nintendo,0.18
FIFA 16,2015.0,Electronic Arts,0.18
FIFA 17,2016.0,Electronic Arts,0.18
Transformer: Rise of the Dark Spark,2014.0,Activision,0.17
NBA Live 16,2015.0,Electronic Arts,0.17
The Crew,2014.0,Ubisoft,0.16
Angry Birds Star Wars,2013.0,Activision,0.16
NHL 17,2016.0,Electronic Arts,0.15
Mirror's Edge Catalyst,2016.0,Electronic Arts,0.15
Major League Baseball 2K13,2013.0,Take-Two Interactive,0.15
Moshi Monsters: Katsuma Unleashed,2013.0,Activision,0.15
Watch Dogs,2014.0,Ubisoft,0.14
Far Cry: Primal,2016.0,Ubisoft,0.14
Battlefield: Hardline,2015.0,Electronic Arts,0.14
Transformers: Devastation,2015.0,Activision,0.13
Teenage Mutant Ninja Turtles: Danger of the Ooze,2014.0,Activision,0.13
The Smurfs 2,2013.0,Ubisoft,0.13
Hasbro Family Fun Pack,2015.0,Ubisoft,0.13
Fuse (Insomniac),2013.0,Electronic Arts,0.13
Transformer: Rise of the Dark Spark,2014.0,Activision,0.13
Battleborn,2016.0,Take-Two Interactive,0.13
Tom Clancy's Splinter Cell: Blacklist,2013.0,Ubisoft,0.12
Angry Birds Star Wars,2013.0,Activision,0.12
Fuse (Insomniac),2013.0,Electronic Arts,0.12
Assassin's Creed Chronicles,2016.0,Ubisoft,0.12
The Walking Dead: Survival Instinct,2013.0,Activision,0.12
Deadpool,2015.0,Activision,0.12
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2013.0,Ubisoft,0.12
Tony Hawk's Pro Skater 5,2015.0,Activision,0.11
Fatal Frame: Maiden of Black Water,2014.0,Nintendo,0.11
Skylanders: SuperChargers,2015.0,Activision,0.11
The Smurfs 2,2013.0,Ubisoft,0.11
Transformers: Devastation,2015.0,Activision,0.11
Picross 3D 2,2015.0,Nintendo,0.11
