event_id;event_date;trading_date;ticker;publisher;studio;is_rockstar;game;franchise;event_type;sentiment;impact_expectation_manual;adj_close;return;market_return;AR_event;CAR_m1_p1;CAR_m5_p5;CAR_0_1;CAR_0_3;CAR_0_5;impact_label
NTDOY_2017_SWITCH_LAUNCH;2017-03-03;2017-03-03;NTDOY;Nintendo;Nintendo;0;Nintendo Switch;Switch;Release;Positive;High;7.619999885559082;-0.0052219272388812;0.00050387727206;-0.0054851512589808;0.0009690179166147;0.0401238671794362;-0.0054851512589808;-0.0033125422428451003;-0.0011537511518090002;Low
NTDOY_2020_ANIMALCROSSING_RELEASE;2020-03-20;2020-03-20;NTDOY;Nintendo;Nintendo EPD;0;Animal Crossing: New Horizons;Animal Crossing;Release;Positive;High;12.65999984741211;0.0119903769613025;-0.0433595123084619;0.0399843747546417;-0.0021575854330594;0.1074060958803088;0.0399843747546417;0.0755048286239914;0.06202400309729679;Low
NTDOY_2021_SWITCH_OLED_ANN;2021-07-06;2021-07-06;NTDOY;Nintendo;Nintendo;0;Nintendo Switch OLED;Switch;Major Announcement;Neutral;Medium;14.520000457763672;0.0041494066015499;-0.0020218560598241;0.0055132845378467;0.0013446156899904;0.0078359771986891;0.0013446156899905;-0.0196065485719217;-0.0196065485719217;Low
NTDOY_2022_POKEMON_SV_RELEASE;2022-11-18;2022-11-18;NTDOY;Nintendo;Game Freak;0;Pokémon Scarlet and Violet;Pokémon;Release;Positive;Medium;5.320000171661377;-0.0166358000534481;0.0047585819088147;-0.0196399461459456;-0.0321603314483513;-0.0700263686819103;-0.0196399461459456;-0.058430089849103;-0.024345301860328898;High
NTDOY_EARN_FY2023;2023-05-09;2023-05-09;NTDOY;Nintendo;Earnings;0;;;Earnings;;;5.829999923706055;-0.0068143036853257;-0.0045794212772585;-0.0038028173826323;-0.0137063431181773;-0.0289342794623708;-0.0220674719343339;-0.0440679854169192;-0.0440679854169192;Medium
NTDOY_2023_ZELDA_TOTK_RELEASE;2023-05-12;2023-05-12;NTDOY;Nintendo;Nintendo;0;The Legend of Zelda: Tears of the Kingdom;Zelda;Release;positive;high;5.599999904632568;-0.0294627516214736;-0.0015833068345566;-0.0283813913577279;-0.0220005134825853;-0.0700984475250568;-0.0283813913577279;-0.012368564889220602;-0.0627729822820221;Medium
NTDOY_EARN_2023Q2;2023-11-07;2023-11-07;NTDOY;Nintendo;Earnings;0;;;Earnings;;;5.989999771118164;0.0067226828798785;0.0028401189192852;0.0049544292880389;0.0033587525042685;0.0645399860082015;0.0160546041711139;0.0344669345438814;0.0344669345438814;Low
NTDOY_EARN_FY2024;2024-05-07;2024-05-07;NTDOY;Nintendo;Earnings;0;;;Earnings;;;4.78000020980835;0.0346321056737224;0.001343429823275;0.0338280337417173;0.0019166609245581;-0.0117819102620941;0.0234328812290904;0.021354204123110496;0.021354204123110496;Low
TTWO_2011_GTA5_ANNOUNCEMENT;2011-10-25;2011-10-25;TTWO;Take-Two;Rockstar Games;1;GTA V;GTA;Major Announcement;Positive;Medium;15.220000267028809;0.0576789370329091;-0.0200447250836162;0.0759620056455902;0.0774570201749987;0.0957674011847828;0.06880359583814921;0.09579199130668031;0.09579199130668031;High
GTAV_2011_TRAILER1;2011-11-02;2011-11-02;TTWO;Take-Two;Rockstar;1;GTA V;GTA;Trailer/Reveal;positive;medium;15.640000343322754;0.0228908032925403;0.0161046677655145;0.0072167998973758;0.0003016949649347;-0.0003577308586701;0.0056520091220944;0.011005146213563001;-0.0162095190187048;Low
GTAV_2012_SCREENSHOTS;2012-07-12;2012-07-12;TTWO;Take-Two;Rockstar;1;GTA V;GTA;Trailer/Reveal;neutral;low;9.100000381469728;-0.0065501601464909;-0.0049870972826125;-0.0024115324554037;-0.0376773834567437;-0.0540646879614712;-0.041531341328965105;-0.041531341328965105;-0.0338952175966287;High
GTAV_2012_TRAILER2;2012-11-14;2012-11-14;TTWO;Take-Two;Rockstar;1;GTA V;GTA;Trailer/Reveal;positive;medium;11.470000267028809;-0.0034752355393231;-0.0138520357188847;0.0089907063637053;0.0253542075071829;0.0972933488408752;0.0169162973482094;0.0377978925617738;0.0607884655658478;Medium
