is_rockstar;sentiment_negative;market_return;franchise_gta;vix_level;vix_30d_mean;impact_label;impact_label_num;impact_high;event_type_marketing;event_type_negative;event_type_release;vix_regime_medium;vix_regime_high
0;0;-0.0041012306087846;0;25.809999465942383;29.989666684468588;high;2;1;0;0;0;0;1
0;0;0.0146424702855101;0;19.399999618530277;20.679666646321614;high;2;1;0;0;0;0;1
0;0;-0.0045794212772585;0;17.709999084472656;17.983999983469644;low;0;0;0;0;0;1;0
0;0;-0.0026650876392156;0;13.93000030517578;13.826333268483479;high;2;1;0;0;0;0;0
0;0;0.0105059994863139;0;16.8700008392334;18.53533344268799;medium;1;0;0;0;0;1;0
0;0;-0.0006006499345398;0;13.3100004196167;13.167000007629394;low;0;0;0;0;0;0;0
0;0;0.001343429823275;0;13.229999542236328;15.477999846140543;high;2;1;0;0;0;0;0
0;0;-0.0049601718780302;0;17.690000534057617;13.896999994913736;medium;1;0;0;0;0;1;0
0;0;0.0040925095436261;0;21.8799991607666;19.2243332862854;medium;1;0;0;0;0;0;1
0;0;0.0149804141640821;0;16.049999237060547;13.974999968210856;medium;1;0;0;0;0;1;0
0;0;0.0090405563857973;0;33.61000061035156;44.66933352152507;medium;1;0;0;0;0;0;1
0;0;0.0036119303819721;0;23.76000022888184;27.76333351135254;medium;1;0;0;0;0;0;1
0;0;0.0119473308942383;0;37.59000015258789;28.4133331934611;medium;1;0;0;0;0;0;1
0;0;0.0108533222304207;0;21.770000457763672;24.43799991607666;high;2;1;0;0;0;0;1
0;0;-0.0066783376082272;0;19.479999542236328;18.115000025431314;medium;1;0;0;0;0;0;1
0;0;0.0082034265474622;0;18.040000915527344;17.3116668065389;high;2;1;0;0;0;1;0
0;0;0.0036803630854131;0;16.030000686645508;18.421666622161865;medium;1;0;0;0;0;1;0
0;0;-0.024391082077444;0;24.350000381469727;21.844333330790203;high;2;1;0;0;0;0;1
0;0;0.0056979369853822;0;27.020000457763672;22.923666699727377;low;0;0;0;0;0;0;1
0;0;-0.0066623955507048;0;23.93000030517578;25.72466672261556;low;0;0;0;0;0;0;1
0;0;-0.0250019848573428;0;25.86000061035156;29.918666712443034;high;2;1;0;0;0;0;1
0;0;-0.0061404630177543;0;19.43000030517578;20.271999994913738;low;0;0;0;0;0;0;1
0;0;-0.0158108588827732;0;18.76000022888184;19.82699991861979;medium;1;0;0;0;0;1;0
0;0;0.002357910335732;0;13.760000228881836;13.928666591644287;medium;1;0;0;0;0;0;0
0;0;;0;29.26000022888184;30.391333452860515;low;0;0;0;0;0;0;1
0;0;;0;37.59000015258789;28.4133331934611;low;0;0;0;0;0;0;1
0;0;;0;21.25;24.208999888102213;low;0;0;0;0;0;0;1
0;0;;0;21.34000015258789;18.549666595458984;low;0;0;0;0;0;0;1
0;0;;0;17.90999984741211;17.1103333791097;low;0;0;0;0;0;1;0
0;0;;0;16.530000686645508;19.160999902089436;low;0;0;0;0;0;1;0
0;0;;0;28.11000061035156;24.132000096638997;low;0;0;0;0;0;0;1
0;0;;0;31.770000457763672;26.283333587646485;low;0;0;0;0;0;0;1
0;0;;0;23.11000061035156;27.506666628519692;low;0;0;0;0;0;0;1
0;0;;0;27.38999938964844;30.049000040690103;low;0;0;0;0;0;0;1
0;0;;0;20.170000076293945;19.6896666208903;low;0;0;0;0;0;0;1
0;0;;0;19.13999938964844;17.445666726430257;low;0;0;0;0;0;0;1
0;0;;0;13.989999771118164;13.929666582743327;low;0;0;0;0;0;0;0
0;0;;0;20.68000030517578;17.90233341852824;low;0;0;0;0;0;0;1
0;0;;0;12.789999961853027;13.291000080108644;low;0;0;0;0;0;0;0
0;0;;0;12.420000076293944;15.216666539510092;low;0;0;0;0;0;0;0
0;0;0.0031343587926053;0;15.489999771118164;13.458666674296062;low;0;0;0;0;0;1;0
0;0;0.0115046307883139;0;31.440000534057617;42.66733353932698;high;2;1;0;0;0;0;1
0;0;0.0064276955596642;0;22.649999618530277;27.111000124613444;high;2;1;0;0;0;0;1
0;0;0.0194601941389629;0;27.57999992370605;29.422999827067056;high;2;1;0;0;0;0;1
0;0;0.0160517676144393;0;30.239999771118164;24.385333251953124;medium;1;0;0;0;0;0;1
0;0;0.0081654564660518;0;18.38999938964844;17.982999992370605;medium;1;0;0;0;0;1;0
0;0;0.0060054468134942;0;17.280000686645508;17.387333488464357;medium;1;0;0;0;0;1;0
0;0;0.0041819423611504;0;15.4399995803833;18.122999954223634;low;0;0;0;0;0;1;0
0;0;-0.024391082077444;0;24.350000381469727;21.844333330790203;low;0;0;0;0;0;0;1
0;0;0.0024578974498534;0;32.9900016784668;25.41333351135254;high;2;1;0;0;0;0;1
0;0;0.0156384771631401;0;21.950000762939453;25.450000063578287;high;2;1;0;0;0;0;1
0;0;0.0055978928024627;0;25.540000915527344;29.17233346303304;high;2;1;0;0;0;0;1
0;0;0.0128725105980265;0;18.65999984741211;20.161666679382325;low;0;0;0;0;0;1;0
0;0;-0.0045794212772585;0;17.709999084472656;17.983999983469644;medium;1;0;0;0;0;1;0
0;0;-0.0025479738404268;0;15.920000076293944;13.990666611989338;high;2;1;0;0;0;1;0
0;0;0.0028401189192852;0;14.8100004196167;18.191666730244954;low;0;0;0;0;0;1;0
0;0;0.0023104108269635;0;13.0600004196167;13.30433340072632;high;2;1;0;0;0;0;0
0;0;0.001343429823275;0;13.229999542236328;15.477999846140543;low;0;0;0;0;0;0;0
0;0;0.010354085880061;0;27.709999084472656;15.888999970753988;medium;1;0;0;0;0;0;1
0;0;0.0122656445452913;0;20.489999771118164;19.597333240509034;high;2;1;0;0;0;0;1
